x,y,t,type,id
313,182,1436206025440,m,717
312,179,1436206025449,m,717
312,179,1436206025460,m,717
311,179,1436206025470,m,717
310,178,1436206025480,m,717
310,178,1436206025490,m,717
309,176,1436206025500,m,717
309,175,1436206025510,m,717
308,175,1436206025520,m,717
308,173,1436206025532,m,717
307,173,1436206025541,m,717
306,169,1436206025550,m,717
303,166,1436206025561,m,717
302,161,1436206025571,m,717
301,161,1436206025581,m,717
301,159,1436206025591,m,717
298,159,1436206025602,m,717
298,159,1436206025612,m,717
298,159,1436206025621,m,717
297,158,1436206025631,m,717
295,158,1436206025642,m,717
295,158,1436206025652,m,717
296,158,1436206025662,m,717
662,9,1436206092149,m,761
653,15,1436206092159,m,761
642,20,1436206092168,m,761
629,32,1436206092178,m,761
617,38,1436206092189,m,761
605,43,1436206092199,m,761
593,52,1436206092209,m,761
579,60,1436206092218,m,761
566,70,1436206092229,m,761
556,75,1436206092239,m,761
547,83,1436206092251,m,761
537,88,1436206092260,m,761
529,93,1436206092270,m,761
524,93,1436206092280,m,761
523,94,1436206092290,m,761
522,94,1436206092299,m,761
522,94,1436206092306,m,761
520,94,1436206092320,m,761
519,94,1436206092330,m,761
519,96,1436206092341,m,761
516,96,1436206092352,m,761
513,96,1436206092361,m,761
513,97,1436206092371,m,761
512,98,1436206092382,m,761
509,98,1436206092391,m,761
508,98,1436206092402,m,761
504,100,1436206092411,m,761
501,100,1436206092422,m,761
498,100,1436206092432,m,761
493,102,1436206092454,m,761
491,104,1436206092462,m,761
487,105,1436206092472,m,761
481,108,1436206092500,m,761
478,109,1436206092503,m,761
476,111,1436206092513,m,761
472,112,1436206092522,m,761
471,114,1436206092534,m,761
467,114,1436206092544,m,761
464,117,1436206092554,m,761
460,119,1436206092563,m,761
457,120,1436206092573,m,761
454,122,1436206092584,m,761
449,125,1436206092594,m,761
446,125,1436206092605,m,761
440,128,1436206092614,m,761
433,132,1436206092625,m,761
429,133,1436206092635,m,761
423,134,1436206092644,m,761
416,138,1436206092654,m,761
410,140,1436206092665,m,761
403,142,1436206092675,m,761
394,144,1436206092686,m,761
387,147,1436206092695,m,761
380,149,1436206092706,m,761
375,153,1436206092715,m,761
370,155,1436206092725,m,761
358,161,1436206092746,m,761
353,164,1436206092757,m,761
349,167,1436206092767,m,761
345,170,1436206092776,m,761
341,177,1436206092797,m,761
340,177,1436206092807,m,761
339,180,1436206092817,m,761
338,182,1436206092828,m,761
337,182,1436206092838,m,761
336,184,1436206092847,m,761
335,184,1436206092858,m,761
335,184,1436206092867,m,761
335,184,1436206092878,m,761
335,184,1436206092888,m,761
335,185,1436206092898,m,761
335,185,1436206092909,m,761
332,188,1436206092918,m,761
332,188,1436206092928,m,761
